sample,input,filtered,denoisedF,denoisedR,merged,nosingletons,nochimeras,percent_singletons,percent_chimeras,percent_retained_of_total
tdna018-Rep3-MiFish-U_S130_L001_R1_001.fastq.gz,85696,80641,80363,79975,78486,78412,71683,0.094284331,8.581594654,83.64801158
tdna019-Rep1-MiFish-U_S19_L001_R1_001.fastq.gz,86447,83235,83149,82528,81567,81555,64668,0.014711832,20.70627184,74.80652886
tdna019-Rep2-MiFish-U_S75_L001_R1_001.fastq.gz,86172,82375,82273,81292,79693,79675,62228,0.022586676,21.89770944,72.21371211
tdna019-Rep3-MiFish-U_S131_L001_R1_001.fastq.gz,91892,86732,86560,85488,79438,79213,70602,0.283239759,10.87069042,76.83149785
tdna020-Rep1-MiFish-U_S20_L001_R1_001.fastq.gz,139301,133193,133101,131454,126399,125968,107355,0.34098371,14.77597485,77.06692701
tdna020-Rep2-MiFish-U_S76_L001_R1_001.fastq.gz,86932,82409,82323,81608,80075,80067,62469,0.009990634,21.97909251,71.85961441
tdna020-Rep3-MiFish-U_S132_L001_R1_001.fastq.gz,95458,90830,90580,89523,86802,86625,68546,0.203912352,20.87041847,71.80749649
tdna021-Rep1-MiFish-U_S21_L001_R1_001.fastq.gz,94129,90227,89827,89538,86692,86586,75766,0.122271951,12.49624651,80.49166569
tdna021-Rep2-MiFish-U_S77_L001_R1_001.fastq.gz,116594,111315,111253,110841,104313,104241,94918,0.069023036,8.943697777,81.40899189
tdna021-Rep3-MiFish-U_S133_L001_R1_001.fastq.gz,100829,96035,95975,95835,93066,93035,87492,0.033309694,5.957972806,86.77265469
tdna022-Rep1-MiFish-U_S22_L001_R1_001.fastq.gz,73152,69448,69306,68724,68142,68049,57241,0.136479704,15.88267278,78.24939851
tdna022-Rep2-MiFish-U_S78_L001_R1_001.fastq.gz,89391,84183,84118,83636,82940,82845,65481,0.114540632,20.95962339,73.25234084
tdna022-Rep3-MiFish-U_S134_L001_R1_001.fastq.gz,89349,84965,84902,84397,83263,83248,76998,0.018015205,7.507687872,86.17667797
tdna023-Rep1-MiFish-U_S23_L001_R1_001.fastq.gz,81261,78027,77927,77428,75948,75721,51038,0.298888713,32.59729798,62.80749683
tdna023-Rep2-MiFish-U_S79_L001_R1_001.fastq.gz,68144,64683,64555,64084,62805,62611,41757,0.308892604,33.30724633,61.27758864
tdna023-Rep3-MiFish-U_S135_L001_R1_001.fastq.gz,76409,73260,73117,72599,72120,71963,63034,0.217692734,12.4077651,82.49551754
tdna024-Rep1-MiFish-U_S24_L001_R1_001.fastq.gz,103177,99207,99088,97809,94988,94448,69393,0.568492862,26.52782483,67.25626835
tdna024-Rep2-MiFish-U_S80_L001_R1_001.fastq.gz,66559,61902,61822,61326,60519,60400,33708,0.196632463,44.19205298,50.64378972
tdna024-Rep3-MiFish-U_S136_L001_R1_001.fastq.gz,75805,72532,72484,72276,70574,70454,59645,0.17003429,15.34192523,78.68214498
tdna025-Rep1-MiFish-U_S25_L001_R1_001.fastq.gz,207931,197967,197330,196258,193651,193059,132772,0.305704592,31.22724141,63.8538746
tdna025-Rep2-MiFish-U_S81_L001_R1_001.fastq.gz,104428,99809,99682,98913,98332,98251,82157,0.082373998,16.38049486,78.67334431
tdna025-Rep3-MiFish-U_S137_L001_R1_001.fastq.gz,83148,79025,78922,78838,76583,76469,47452,0.148858102,37.9460958,57.06932217
tdna026-Rep1-MiFish-U_S26_L001_R1_001.fastq.gz,19501,18189,18135,18023,17931,17921,17686,0.055769338,1.311310753,90.69278499
tdna026-Rep2-MiFish-U_S82_L001_R1_001.fastq.gz,76832,73065,72973,72467,71029,71002,60380,0.038012643,14.96014197,78.58704706
tdna026-Rep3-MiFish-U_S138_L001_R1_001.fastq.gz,85095,79784,79641,79453,78241,78106,67870,0.172543807,13.1052672,79.75791762
tdna027-Rep1-MiFish-U_S27_L001_R1_001.fastq.gz,118144,110586,110377,109115,106563,105824,96969,0.693486482,8.36766707,82.07695693
tdna027-Rep2-MiFish-U_S83_L001_R1_001.fastq.gz,62075,59055,58923,57895,57114,56838,53124,0.483244038,6.534360815,85.58034636
tdna027-Rep3-MiFish-U_S139_L001_R1_001.fastq.gz,83722,78040,77914,77371,74649,74404,72341,0.328202655,2.772700392,86.40620148
tdna028-Rep1-MiFish-U_S28_L001_R1_001.fastq.gz,140566,133393,133220,132415,129556,129311,101747,0.189107413,21.316052,72.38379124
tdna028-Rep2-MiFish-U_S84_L001_R1_001.fastq.gz,85479,81348,81239,80954,78827,78822,63010,0.006343004,20.06038923,73.71401163
tdna028-Rep3-MiFish-U_S140_L001_R1_001.fastq.gz,99321,94507,94391,93457,93010,92860,83903,0.161272981,9.645703209,84.47659609
tdna029-Rep1-MiFish-U_S29_L001_R1_001.fastq.gz,43591,39370,39296,39040,38718,38718,31828,0,17.79534067,73.01507192
tdna029-Rep2-MiFish-U_S85_L001_R1_001.fastq.gz,80511,77286,77180,76804,74897,74809,38793,0.117494693,48.1439399,48.18347803
tdna029-Rep3-MiFish-U_S141_L001_R1_001.fastq.gz,88546,83739,83649,82858,81523,81419,68447,0.12757136,15.93239907,77.30106385
tdna030-Rep1-MiFish-U_S30_L001_R1_001.fastq.gz,65825,61717,61617,60963,59606,59563,33079,0.072140389,44.463845,50.25294341
tdna030-Rep2-MiFish-U_S86_L001_R1_001.fastq.gz,100830,94885,94794,94045,92127,91948,73190,0.194297003,20.40066124,72.58752355
tdna030-Rep3-MiFish-U_S142_L001_R1_001.fastq.gz,98047,92663,92525,91796,90657,90657,82824,0,8.640259439,84.47377278
tdna031-Rep1-MiFish-U_S31_L001_R1_001.fastq.gz,83530,79875,79436,79541,77832,77691,61976,0.18115942,20.22756819,74.19609721
tdna031-Rep2-MiFish-U_S87_L001_R1_001.fastq.gz,41078,38785,38743,38477,37998,37977,36964,0.055266067,2.667403955,89.98490676
tdna031-Rep3-MiFish-U_S143_L001_R1_001.fastq.gz,64129,60872,60823,60306,60221,60206,59636,0.024908255,0.946749493,92.99380935
tdna032-Rep1-MiFish-U_S32_L001_R1_001.fastq.gz,68828,65493,65289,65204,64719,64719,50921,0,21.3198597,73.98297205
tdna032-Rep2-MiFish-U_S88_L001_R1_001.fastq.gz,45114,42951,42886,42373,41322,41298,35295,0.058080441,14.53581287,78.23513765
tdna032-Rep3-MiFish-U_S144_L001_R1_001.fastq.gz,105820,100390,100116,99493,98173,98142,95015,0.03157691,3.186199588,89.78926479
tdna033-Rep1-MiFish-U_S33_L001_R1_001.fastq.gz,92213,87838,87575,87206,84573,84508,68531,0.07685668,18.9059024,74.31815471
tdna033-Rep2-MiFish-U_S89_L001_R1_001.fastq.gz,41696,39115,39058,38344,37980,37957,34928,0.060558189,7.980082725,83.76822717
tdna033-Rep3-MiFish-U_S145_L001_R1_001.fastq.gz,88051,83589,83501,82754,80844,80820,73573,0.029686804,8.966839891,83.55725659
tdna034-Rep1-MiFish-U_S34_L001_R1_001.fastq.gz,91205,86714,86531,85806,82999,82809,70962,0.228918421,14.30641597,77.8049449
tdna034-Rep2-MiFish-U_S90_L001_R1_001.fastq.gz,101448,96395,96273,95443,94351,94298,66481,0.056173226,29.49903497,65.53209526
tdna034-Rep3-MiFish-U_S146_L001_R1_001.fastq.gz,61276,57507,57453,56836,55739,55739,51602,0,7.422092251,84.21241595
tdna035-Rep1-MiFish-U_S35_L001_R1_001.fastq.gz,88355,84308,84061,83765,82229,82193,75343,0.043780175,8.334043045,85.27304623
tdna035-Rep2-MiFish-U_S91_L001_R1_001.fastq.gz,491,322,277,224,211,211,211,0,0,42.97352342
tdna035-Rep3-MiFish-U_S147_L001_R1_001.fastq.gz,66447,62917,62815,61951,61516,61405,53693,0.180440861,12.55923785,80.80575496
tdna036-Rep1-MiFish-U_S36_L001_R1_001.fastq.gz,6515,5832,5789,5634,5597,5593,4903,0.071466857,12.33684963,75.257099
tdna036-Rep2-MiFish-U_S92_L001_R1_001.fastq.gz,98939,93634,93513,93256,92327,92246,83592,0.087731649,9.381436593,84.48842216
tdna036-Rep3-MiFish-U_S148_L001_R1_001.fastq.gz,38356,36216,36143,35854,35318,35318,33225,0,5.926156634,86.62269267
tdna037-Rep1-MiFish-U_S37_L001_R1_001.fastq.gz,94437,90455,90365,89745,89430,89415,80759,0.016772895,9.680702343,85.51627011
tdna037-Rep2-MiFish-U_S93_L001_R1_001.fastq.gz,105410,100688,100609,99541,96245,96073,84501,0.178710582,12.04500744,80.16412105
tdna037-Rep3-MiFish-U_S149_L001_R1_001.fastq.gz,86451,82266,82190,81407,80669,80613,76341,0.06941948,5.299393398,88.30551411
tdna038-Rep1-MiFish-U_S38_L001_R1_001.fastq.gz,146202,137787,137651,136373,134174,133713,101732,0.343583705,23.91764451,69.58317944
tdna038-Rep2-MiFish-U_S94_L001_R1_001.fastq.gz,108771,101972,101850,100985,61882,61855,53711,0.043631428,13.16627597,49.37988986
