sample	reads.in	reads.out	percentage_retained
tdna039-Rep3-MiFish-U_S151_L001_R1_001.fastq.gz	76505	73535	96.117900790798
tdna040-Rep1-MiFish-U_S40_L001_R1_001.fastq.gz	60492	57068	94.3397474046155
tdna040-Rep2-MiFish-U_S96_L001_R1_001.fastq.gz	47925	45422	94.7772561293688
tdna040-Rep3-MiFish-U_S152_L001_R1_001.fastq.gz	91532	86700	94.7209719005375
tdna041-Rep1-MiFish-U_S41_L001_R1_001.fastq.gz	89016	84157	94.5414307540217
tdna041-Rep2-MiFish-U_S97_L001_R1_001.fastq.gz	62111	58551	94.2683260614062
tdna041-Rep3-MiFish-U_S153_L001_R1_001.fastq.gz	80432	76957	95.6795802665606
tdna042-Rep1-MiFish-U_S42_L001_R1_001.fastq.gz	80975	76504	94.4785427601112
tdna042-Rep2-MiFish-U_S98_L001_R1_001.fastq.gz	93611	87341	93.3020692012691
tdna042-Rep3-MiFish-U_S154_L001_R1_001.fastq.gz	65828	61888	94.0147049887586
tdna044-Rep1-MiFish-U_S43_L001_R1_001.fastq.gz	78744	75319	95.6504622574418
tdna044-Rep2-MiFish-U_S99_L001_R1_001.fastq.gz	95564	90251	94.4403750366247
tdna044-Rep3-MiFish-U_S155_L001_R1_001.fastq.gz	84893	80481	94.8028694945402
tdna045-Rep1-MiFish-U_S44_L001_R1_001.fastq.gz	102185	96231	94.1733131085776
tdna045-Rep2-MiFish-U_S100_L001_R1_001.fastq.gz	93890	88985	94.7758014698051
tdna045-Rep3-MiFish-U_S156_L001_R1_001.fastq.gz	93210	89006	95.4897543182062
tdna046-Rep1-MiFish-U_S45_L001_R1_001.fastq.gz	62460	59134	94.6749919948767
tdna046-Rep2-MiFish-U_S101_L001_R1_001.fastq.gz	71887	68115	94.7528760415652
tdna046-Rep3-MiFish-U_S157_L001_R1_001.fastq.gz	91729	87731	95.6415092282702
tdna047-Rep1-MiFish-U_S46_L001_R1_001.fastq.gz	90257	84073	93.1484538595344
tdna047-Rep2-MiFish-U_S102_L001_R1_001.fastq.gz	110138	104398	94.7883564255752
tdna047-Rep3-MiFish-U_S158_L001_R1_001.fastq.gz	94682	90466	95.547200101392
tdna048-Rep1-MiFish-U_S47_L001_R1_001.fastq.gz	69107	65617	94.9498603614685
tdna048-Rep2-MiFish-U_S103_L001_R1_001.fastq.gz	93743	88945	94.8817511707541
tdna048-Rep3-MiFish-U_S159_L001_R1_001.fastq.gz	77780	74303	95.5296991514528
tdna049-Rep1-MiFish-U_S48_L001_R1_001.fastq.gz	79228	75608	95.4309082647549
tdna049-Rep2-MiFish-U_S104_L001_R1_001.fastq.gz	63654	60550	95.1236371634147
tdna049-Rep3-MiFish-U_S160_L001_R1_001.fastq.gz	32861	31314	95.2922917744439
tdna050-Rep1-MiFish-U_S49_L001_R1_001.fastq.gz	83413	78394	93.9829522976035
tdna050-Rep2-MiFish-U_S105_L001_R1_001.fastq.gz	82312	78004	94.7662552240257
tdna050-Rep3-MiFish-U_S161_L001_R1_001.fastq.gz	77241	73679	95.3884594968993
tdna051-Rep1-MiFish-U_S50_L001_R1_001.fastq.gz	60465	56683	93.7451418175804
tdna051-Rep2-MiFish-U_S106_L001_R1_001.fastq.gz	94138	88752	94.2786122501009
