row_names	input	filtered	denoisedF	denoisedR	merged	nosingletons	nochimeras	percent_singletons	percent_chimeras	percent_retained_of_total
tdna019-Rep3-MiFish-U_S131_L001_R1_001.fastq.gz	91892	86732	86560	85488	79438	79213	70602	0.283239759309154	10.870690416977	76.8314978452967
tdna020-Rep1-MiFish-U_S20_L001_R1_001.fastq.gz	139301	133193	133101	131454	126399	125968	107355	0.340983710314163	14.7759748507557	77.0669270141636
tdna020-Rep2-MiFish-U_S76_L001_R1_001.fastq.gz	86932	82409	82323	81608	80075	80067	62469	0.00999063378083065	21.9790925100229	71.859614411264
tdna020-Rep3-MiFish-U_S132_L001_R1_001.fastq.gz	95458	90830	90580	89523	86802	86625	68546	0.203912352249944	20.8704184704185	71.8074964906032
tdna021-Rep1-MiFish-U_S21_L001_R1_001.fastq.gz	94129	90227	89827	89538	86692	86586	75766	0.122271951275778	12.4962465063636	80.4916656928258
tdna021-Rep2-MiFish-U_S77_L001_R1_001.fastq.gz	116594	111315	111253	110841	104313	104241	94918	0.0690230364384092	8.94369777726615	81.4089918863749
tdna021-Rep3-MiFish-U_S133_L001_R1_001.fastq.gz	100829	96035	95975	95835	93066	93035	87492	0.0333096941955091	5.95797280593325	86.7726546925984
tdna022-Rep1-MiFish-U_S22_L001_R1_001.fastq.gz	73152	69448	69306	68724	68142	68049	57241	0.13647970414722	15.8826727799086	78.2493985126859
tdna022-Rep2-MiFish-U_S78_L001_R1_001.fastq.gz	89391	84183	84118	83636	82940	82845	65481	0.114540631782006	20.9596233930835	73.2523408396818
tdna022-Rep3-MiFish-U_S134_L001_R1_001.fastq.gz	89349	84965	84902	84397	83263	83248	76998	0.0180152048328779	7.50768787238133	86.1766779706544
tdna023-Rep1-MiFish-U_S23_L001_R1_001.fastq.gz	81261	78027	77927	77428	75948	75721	51038	0.298888713330172	32.5972979754626	62.8074968311982
tdna023-Rep2-MiFish-U_S79_L001_R1_001.fastq.gz	68144	64683	64555	64084	62805	62611	41757	0.308892604092023	33.307246330517	61.27758863583
tdna023-Rep3-MiFish-U_S135_L001_R1_001.fastq.gz	76409	73260	73117	72599	72120	71963	63034	0.217692734331663	12.4077651015105	82.4955175437448
tdna024-Rep1-MiFish-U_S24_L001_R1_001.fastq.gz	103177	99207	99088	97809	94988	94448	69393	0.568492862256292	26.5278248348297	67.2562683543813
tdna024-Rep2-MiFish-U_S80_L001_R1_001.fastq.gz	66559	61902	61822	61326	60519	60400	33708	0.196632462532435	44.1920529801324	50.6437897203984
tdna024-Rep3-MiFish-U_S136_L001_R1_001.fastq.gz	75805	72532	72484	72276	70574	70454	59645	0.170034290248537	15.3419252278082	78.6821449772442
tdna025-Rep1-MiFish-U_S25_L001_R1_001.fastq.gz	207931	197967	197330	196258	193651	193059	132772	0.305704592281998	31.2272414132467	63.8538746026326
tdna025-Rep2-MiFish-U_S81_L001_R1_001.fastq.gz	104428	99809	99682	98913	98332	98251	82157	0.0823739982915015	16.3804948550142	78.6733443137856
tdna025-Rep3-MiFish-U_S137_L001_R1_001.fastq.gz	83148	79025	78922	78838	76583	76469	47452	0.148858101667471	37.9460958035282	57.0693221725117
tdna026-Rep1-MiFish-U_S26_L001_R1_001.fastq.gz	19501	18189	18135	18023	17931	17921	17686	0.0557693380179529	1.31131075274817	90.6927849853854
tdna026-Rep2-MiFish-U_S82_L001_R1_001.fastq.gz	76832	73065	72973	72467	71029	71002	60380	0.0380126427234018	14.9601419678319	78.5870470637234
tdna026-Rep3-MiFish-U_S138_L001_R1_001.fastq.gz	85095	79784	79641	79453	78241	78106	67870	0.172543806955431	13.1052672009833	79.7579176214819
tdna027-Rep1-MiFish-U_S27_L001_R1_001.fastq.gz	118144	110586	110377	109115	106563	105824	96969	0.693486482174862	8.36766706985182	82.0769569339112
tdna027-Rep2-MiFish-U_S83_L001_R1_001.fastq.gz	62075	59055	58923	57895	57114	56838	53124	0.483244038239306	6.53436081494775	85.5803463552155
tdna027-Rep3-MiFish-U_S139_L001_R1_001.fastq.gz	83722	78040	77914	77371	74649	74404	72341	0.328202655092497	2.77270039245202	86.4062014763145
tdna028-Rep1-MiFish-U_S28_L001_R1_001.fastq.gz	140566	133393	133220	132415	129556	129311	101747	0.189107413010589	21.3160519986699	72.3837912439708
tdna028-Rep2-MiFish-U_S84_L001_R1_001.fastq.gz	85479	81348	81239	80954	78827	78822	63010	0.00634300430056101	20.0603892314329	73.7140116285871
tdna028-Rep3-MiFish-U_S140_L001_R1_001.fastq.gz	99321	94507	94391	93457	93010	92860	83903	0.161272981399847	9.64570320913202	84.4765960874337
tdna029-Rep1-MiFish-U_S29_L001_R1_001.fastq.gz	43591	39370	39296	39040	38718	38718	31828	0	17.795340668423	73.0150719185153
tdna029-Rep2-MiFish-U_S85_L001_R1_001.fastq.gz	80511	77286	77180	76804	74897	74809	38793	0.117494692711333	48.1439399002794	48.1834780340575
tdna029-Rep3-MiFish-U_S141_L001_R1_001.fastq.gz	88546	83739	83649	82858	81523	81419	68447	0.127571360229624	15.9323990714698	77.3010638538161
tdna030-Rep1-MiFish-U_S30_L001_R1_001.fastq.gz	65825	61717	61617	60963	59606	59563	33079	0.0721403885514889	44.4638450044491	50.2529434105583
tdna030-Rep2-MiFish-U_S86_L001_R1_001.fastq.gz	100830	94885	94794	94045	92127	91948	73190	0.194297003050139	20.4006612433114	72.5875235544977
tdna030-Rep3-MiFish-U_S142_L001_R1_001.fastq.gz	98047	92663	92525	91796	90657	90657	82824	0	8.64025943942552	84.4737727824411
tdna031-Rep1-MiFish-U_S31_L001_R1_001.fastq.gz	83530	79875	79436	79541	77832	77691	61976	0.181159420289859	20.2275681867913	74.196097210583
tdna031-Rep2-MiFish-U_S87_L001_R1_001.fastq.gz	41078	38785	38743	38477	37998	37977	36964	0.0552660666350846	2.66740395502541	89.984906762744
tdna031-Rep3-MiFish-U_S143_L001_R1_001.fastq.gz	64129	60872	60823	60306	60221	60206	59636	0.024908254595573	0.946749493405974	92.9938093530228
tdna032-Rep1-MiFish-U_S32_L001_R1_001.fastq.gz	68828	65493	65289	65204	64719	64719	50921	0	21.3198597011697	73.9829720462602
tdna032-Rep2-MiFish-U_S88_L001_R1_001.fastq.gz	45114	42951	42886	42373	41322	41298	35295	0.0580804414113629	14.5358128722941	78.2351376512834
tdna032-Rep3-MiFish-U_S144_L001_R1_001.fastq.gz	105820	100390	100116	99493	98173	98142	95015	0.0315769101484165	3.18619958835157	89.7892647892648
tdna033-Rep1-MiFish-U_S33_L001_R1_001.fastq.gz	92213	87838	87575	87206	84573	84508	68531	0.0768566800279018	18.9059023997728	74.318154707037
tdna033-Rep2-MiFish-U_S89_L001_R1_001.fastq.gz	41696	39115	39058	38344	37980	37957	34928	0.0605581885202753	7.98008272518904	83.7682271680737
tdna033-Rep3-MiFish-U_S145_L001_R1_001.fastq.gz	88051	83589	83501	82754	80844	80820	73573	0.0296868042155296	8.96683989111607	83.5572565899308
tdna034-Rep1-MiFish-U_S34_L001_R1_001.fastq.gz	91205	86714	86531	85806	82999	82809	70962	0.228918420703863	14.3064159692787	77.8049449043364
tdna034-Rep2-MiFish-U_S90_L001_R1_001.fastq.gz	101448	96395	96273	95443	94351	94298	66481	0.0561732255089993	29.4990349742306	65.5320952606261
tdna034-Rep3-MiFish-U_S146_L001_R1_001.fastq.gz	61276	57507	57453	56836	55739	55739	51602	0	7.42209225138592	84.212415954044
tdna035-Rep1-MiFish-U_S35_L001_R1_001.fastq.gz	88355	84308	84061	83765	82229	82193	75343	0.0437801748774689	8.33404304502817	85.2730462339426
tdna035-Rep2-MiFish-U_S91_L001_R1_001.fastq.gz	491	322	277	224	211	211	211	0	0	42.9735234215886
tdna035-Rep3-MiFish-U_S147_L001_R1_001.fastq.gz	66447	62917	62815	61951	61516	61405	53693	0.180440860914231	12.5592378470809	80.8057549626018
tdna036-Rep1-MiFish-U_S36_L001_R1_001.fastq.gz	6515	5832	5789	5634	5597	5593	4903	0.0714668572449568	12.3368496334704	75.2570990023024
tdna036-Rep2-MiFish-U_S92_L001_R1_001.fastq.gz	98939	93634	93513	93256	92327	92246	83592	0.087731649463322	9.38143659345663	84.4884221591081
tdna036-Rep3-MiFish-U_S148_L001_R1_001.fastq.gz	38356	36216	36143	35854	35318	35318	33225	0	5.92615663401098	86.6226926686829
tdna037-Rep1-MiFish-U_S37_L001_R1_001.fastq.gz	94437	90455	90365	89745	89430	89415	80759	0.0167728950016794	9.68070234300733	85.5162701059966
