species,kingdom,phylum,order,family,genus,old_species,kingdom_id,phylum_id,order_id,family_id,genus_id,species_id,class,class_id,ids,in_range
Citharichthys sordidus,Animalia,Chordata,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys sordidus,1,44,588,5082,2408301,2408726,NA,NA,Citharichthys sordidus,y
Citharichthys stigmaeus,Animalia,Chordata,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys stigmaeus,1,44,588,5082,2408301,2408737,NA,NA,Citharichthys stigmaeus,y
Clupea pallasii,Animalia,Chordata,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,1,44,538,7332,2346676,4284072,NA,NA,Clupea pallasii,y
Clupea pallasii,Animalia,Chordata,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,1,44,538,7332,2346676,4284072,NA,NA,Clupea pallasii,y
Cymatogaster aggregata,Animalia,Chordata,Perciformes,Embiotocidae,Cymatogaster,Cymatogaster aggregata,1,44,587,4269,2389233,2389234,NA,NA,Cymatogaster aggregata,y
Embiotoca lateralis,Animalia,Chordata,Perciformes,Embiotocidae,Embiotoca,Embiotoca lateralis,1,44,587,4269,2389281,2389287,NA,NA,Embiotoca lateralis,y
Engraulis mordax,Animalia,Chordata,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,1,44,538,7334,2352080,2414024,NA,NA,Engraulis mordax,y
Enophrys bison,Animalia,Chordata,Scorpaeniformes,Cottidae,Enophrys,Enophrys bison,1,44,590,8621,2333763,5201188,NA,NA,Enophrys bison,y
Gadus chalcogrammus,Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,1,44,549,3701,2335052,2415769,NA,NA,Gadus chalcogrammus,y
Gadus macrocephalus,Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,1,44,549,3701,2335052,2415853,NA,NA,Gadus macrocephalus,y
Gadus macrocephalus,Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus ogac,1,44,549,3701,2335052,2415853,NA,NA,Gadus ogac,y
Glyptocephalus zachirus,Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus zachirus,1,44,588,8611,2409281,5214001,NA,NA,Glyptocephalus zachirus,y
Gobiesox maeandricus,Animalia,Chordata,Gobiesociformes,Gobiesocidae,Gobiesox,Gobiesox maeandricus,1,44,1163,7668,2411258,2411287,NA,NA,Gobiesox maeandricus,y
Hexagrammos decagrammus,Animalia,Chordata,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos decagrammus,1,44,590,8626,2336463,2336472,NA,NA,Hexagrammos decagrammus,y
Hippoglossus stenolepis,Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Hippoglossus,Hippoglossus stenolepis,1,44,588,8611,2408796,2409216,NA,NA,Hippoglossus stenolepis,y
Hydrolagus colliei,Animalia,Chordata,Chimaeriformes,Chimaeridae,Hydrolagus,Hydrolagus colliei,1,44,880,2181,2417351,5215461,Holocephali,120,Hydrolagus colliei,y
Isopsetta isolepis,Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,1,44,588,8611,2409201,2409202,NA,NA,Isopsetta isolepis,y
Liparis dennyi,Animalia,Chordata,Scorpaeniformes,Liparidae,Liparis,Liparis dennyi,1,44,590,8627,2335959,5201415,NA,NA,Liparis dennyi,y
Liparis fucensis,Animalia,Chordata,Scorpaeniformes,Liparidae,Liparis,Liparis fucensis,1,44,590,8627,2335959,5201508,NA,NA,Liparis fucensis,y
Lyopsetta exilis,Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Lyopsetta,Lyopsetta exilis,1,44,588,8611,2409225,2409226,NA,NA,Lyopsetta exilis,y
Mallotus villosus,Animalia,Chordata,Osmeriformes,Osmeridae,Mallotus,Mallotus villosus,1,44,1068,8480,2410910,5214420,NA,NA,Mallotus villosus,y
Merluccius productus,Animalia,Chordata,Gadiformes,Merlucciidae,Merluccius,Merluccius productus,1,44,549,3703,2415629,2415676,NA,NA,Merluccius productus,y
Microstomus pacificus,Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Microstomus,Microstomus pacificus,1,44,588,8611,2409352,5214028,NA,NA,Microstomus pacificus,y
Odontopyxis trispinosa,Animalia,Chordata,Scorpaeniformes,Agonidae,Odontopyxis,Odontopyxis trispinosa,1,44,590,8617,2337271,2337272,NA,NA,Odontopyxis trispinosa,y
Oligocottus maculosus,Animalia,Chordata,Scorpaeniformes,Cottidae,Oligocottus,Oligocottus maculosus,1,44,590,8621,2333736,2333746,NA,NA,Oligocottus maculosus,y
Oligocottus snyderi,Animalia,Chordata,Scorpaeniformes,Cottidae,Oligocottus,Oligocottus snyderi,1,44,590,8621,2333736,2333742,NA,NA,Oligocottus snyderi,y
Oncorhynchus gorbuscha,Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha,1,44,1313,8615,2351426,5204037,NA,NA,Oncorhynchus gorbuscha,y
Oncorhynchus keta,Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus keta,1,44,1313,8615,2351426,5204014,NA,NA,Oncorhynchus keta,y
Oncorhynchus kisutch,Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,1,44,1313,8615,2351426,5204034,NA,NA,Oncorhynchus kisutch,y
Oncorhynchus nerka,Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka,1,44,1313,8615,2351426,5204039,NA,NA,Oncorhynchus nerka,y
Oncorhynchus tshawytscha,Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,1,44,1313,8615,2351426,5204024,NA,NA,Oncorhynchus tshawytscha,y
