species,kingdom,phylum,order,family,genus,old_species,kingdom_id,phylum_id,order_id,family_id,genus_id,species_id,class,class_id,ids,in_range
Sebastes joyneri,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes joyneri,1,44,590,8633,2333712,2335451,NA,NA,Sebastes joyneri,n
Sebastes melanops,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes melanops,1,44,590,8633,2333712,2335569,NA,NA,Sebastes melanops,y
Sebastes melanostictus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes melanostictus,1,44,590,8633,2333712,8416044,NA,NA,Sebastes melanostictus,y
Sebastes miniatus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes miniatus,1,44,590,8633,2333712,2335381,NA,NA,Sebastes miniatus,y
Sebastes mystinus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes mystinus,1,44,590,8633,2333712,2335366,NA,NA,Sebastes mystinus,y
Sebastes ovalis,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes ovalis,1,44,590,8633,2333712,2335567,NA,NA,Sebastes ovalis,n
Sebastes pachycephalus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes pachycephalus,1,44,590,8633,2333712,4286366,NA,NA,Sebastes pachycephalus,n
Sebastes phillipsi,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes phillipsi,1,44,590,8633,2333712,2335550,NA,NA,Sebastes phillipsi,y
Sebastes polyspinis,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes polyspinis,1,44,590,8633,2333712,2335506,NA,NA,Sebastes polyspinis,y
Sebastes proriger,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes proriger,1,44,590,8633,2333712,2335489,NA,NA,Sebastes proriger,y
Sebastes reedi,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes reedi,1,44,590,8633,2333712,2335448,NA,NA,Sebastes reedi,y
Sebastes rosaceus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes rosaceus,1,44,590,8633,2333712,2335450,NA,NA,Sebastes rosaceus,n
Sebastes rosenblatti,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes rosenblatti,1,44,590,8633,2333712,2335437,NA,NA,Sebastes rosenblatti,y
Sebastes ruberrimus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes ruberrimus,1,44,590,8633,2333712,2335415,NA,NA,Sebastes ruberrimus,y
Sebastes rubrivinctus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes rubrivinctus,1,44,590,8633,2333712,2335388,NA,NA,Sebastes rubrivinctus,n
Sebastes serriceps,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes serriceps,1,44,590,8633,2333712,2335522,NA,NA,Sebastes serriceps,n
Sebastes simulator,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes simulator,1,44,590,8633,2333712,2335424,NA,NA,Sebastes simulator,y
Sebastes variabilis,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes variabilis,1,44,590,8633,2333712,2335481,NA,NA,Sebastes variabilis,y
Sebastes variegatus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes variegatus,1,44,590,8633,2333712,2335412,NA,NA,Sebastes variegatus,y
Sebastes ventricosus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes ventricosus,1,44,590,8633,2333712,2335386,NA,NA,Sebastes ventricosus,y
Sebastes wilsoni,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes wilsoni,1,44,590,8633,2333712,2335485,NA,NA,Sebastes wilsoni,y
Sebastes zacentrus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes zacentrus,1,44,590,8633,2333712,2335429,NA,NA,Sebastes zacentrus,y
Squalus acanthias,Animalia,Chordata,Squaliformes,Squalidae,Squalus,Squalus acanthias,1,44,883,5872,2420869,5216368,Elasmobranchii,121,Squalus acanthias,n
Squalus suckleyi,Animalia,Chordata,Squaliformes,Squalidae,Squalus,Squalus suckleyi,1,44,883,5872,2420869,5216380,Elasmobranchii,121,Squalus suckleyi,y
Thaleichthys pacificus,Animalia,Chordata,Osmeriformes,Osmeridae,Thaleichthys,Thaleichthys pacificus,1,44,1068,8480,2410902,2410903,NA,NA,Thaleichthys pacificus,y
NA,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes,1,44,590,8633,2333712,NA,NA,NA,Sebastes,y
