row_names	input	filtered	denoisedF	denoisedR	merged	nosingletons	nochimeras	percent_singletons	percent_chimeras	percent_retained_of_total
tdna023-Rep1-MiFish-E_S195_L001_R1_001.fastq.gz	21726	20371	20318	20090	19917	19903	19562	0.070291710598994	1.71330955132392	90.0395839086808
tdna023-Rep2-MiFish-E_S251_L001_R1_001.fastq.gz	14894	14005	13953	13851	13810	13810	13810	0	0	92.7219014368202
tdna023-Rep3-MiFish-E_S307_L001_R1_001.fastq.gz	15029	14175	14110	14046	13746	13726	13101	0.145496871817258	4.5534023022002	87.1714684942445
tdna024-Rep1-MiFish-E_S196_L001_R1_001.fastq.gz	20709	19399	19284	19031	18399	18393	18393	0.0326104679602111	0	88.8164566130668
tdna024-Rep2-MiFish-E_S252_L001_R1_001.fastq.gz	32270	30199	30132	29697	29267	29267	28452	0	2.78470632452932	88.1685776262783
tdna024-Rep3-MiFish-E_S308_L001_R1_001.fastq.gz	29233	27306	27237	26873	26755	26755	26372	0	1.43150812932163	90.2131153148839
tdna025-Rep1-MiFish-E_S197_L001_R1_001.fastq.gz	7236	6673	6612	6521	6464	6459	6459	0.0773514851485118	0	89.2620232172471
tdna025-Rep2-MiFish-E_S253_L001_R1_001.fastq.gz	2984	2732	2707	2637	2624	2622	2367	0.0762195121951237	9.7254004576659	79.3230563002681
tdna025-Rep3-MiFish-E_S309_L001_R1_001.fastq.gz	1693	1444	1399	1320	1309	1309	1293	0	1.22230710466005	76.3733018310691
tdna026-Rep1-MiFish-E_S198_L001_R1_001.fastq.gz	8078	7502	7419	7301	7254	7249	7243	0.068927488282327	0.0827700372465188	89.6632829908393
tdna026-Rep2-MiFish-E_S254_L001_R1_001.fastq.gz	4037	3719	3699	3648	3620	3618	3216	0.0552486187845318	11.1111111111111	79.6631161753778
tdna026-Rep3-MiFish-E_S310_L001_R1_001.fastq.gz	2212	1638	1594	1470	1444	1444	1432	0	0.83102493074793	64.7377938517179
tdna027-Rep1-MiFish-E_S199_L001_R1_001.fastq.gz	26943	25558	25501	25046	24902	24865	24694	0.148582443177261	0.687713653730142	91.6527483947593
tdna027-Rep2-MiFish-E_S255_L001_R1_001.fastq.gz	5119	4779	4749	4625	4570	4570	4554	0	0.350109409190367	88.9626880250049
tdna027-Rep3-MiFish-E_S311_L001_R1_001.fastq.gz	14452	13200	13144	12803	12579	12562	12301	0.135145878050722	2.07769463461233	85.1162468862441
tdna028-Rep1-MiFish-E_S200_L001_R1_001.fastq.gz	215046	202590	202418	199832	194632	194106	190878	0.270253606806691	1.66300887144138	88.7614742892218
tdna028-Rep2-MiFish-E_S256_L001_R1_001.fastq.gz	93213	85525	85441	84513	82712	82707	81631	0.00604507205726179	1.30097815178884	87.5746945168592
tdna028-Rep3-MiFish-E_S312_L001_R1_001.fastq.gz	76163	72318	72222	71103	69573	69573	68753	0	1.17861814209536	90.2708664312068
tdna029-Rep1-MiFish-E_S201_L001_R1_001.fastq.gz	72212	68802	68709	68040	67821	67816	66437	0.00737234779788309	2.03344343517755	92.0027142303218
tdna029-Rep2-MiFish-E_S257_L001_R1_001.fastq.gz	86158	81629	81535	80662	79990	79987	79584	0.00375046880860452	0.503831872679299	92.3698321688061
tdna029-Rep3-MiFish-E_S313_L001_R1_001.fastq.gz	45111	42599	42533	42064	41713	41707	41513	0.0143840049864536	0.465149735056471	92.0241182860056
tdna030-Rep1-MiFish-E_S202_L001_R1_001.fastq.gz	99950	93336	92999	92430	91229	91215	90458	0.0153459974350199	0.829907361727791	90.5032516258129
tdna030-Rep2-MiFish-E_S258_L001_R1_001.fastq.gz	118794	110169	110019	108914	108004	107993	107108	0.0101848079700773	0.819497560027031	90.16280283516
tdna030-Rep3-MiFish-E_S314_L001_R1_001.fastq.gz	58519	55232	55167	54570	54428	54422	54053	0.0110237377820255	0.678034618352868	92.3682906406466
tdna031-Rep1-MiFish-E_S203_L001_R1_001.fastq.gz	18945	17861	17798	17473	17134	17102	17102	0.186763160966493	0	90.2718395354975
tdna031-Rep2-MiFish-E_S259_L001_R1_001.fastq.gz	29886	28429	28381	28107	27904	27891	27891	0.0465883027522977	0	93.3246336077093
tdna031-Rep3-MiFish-E_S315_L001_R1_001.fastq.gz	2884	2680	2583	2555	2459	2459	2455	0	0.162667751118335	85.124826629681
tdna032-Rep1-MiFish-E_S204_L001_R1_001.fastq.gz	2682	2184	2148	2033	1983	1983	1983	0	0	73.9373601789709
tdna032-Rep2-MiFish-E_S260_L001_R1_001.fastq.gz	27196	25525	25487	25376	25332	25332	25332	0	0	93.1460508898367
tdna032-Rep3-MiFish-E_S316_L001_R1_001.fastq.gz	7455	6699	6613	6351	6283	6283	6033	0	3.97899092790068	80.9255533199195
tdna033-Rep1-MiFish-E_S205_L001_R1_001.fastq.gz	31270	29107	29002	28217	27769	27742	27742	0.0972307249090676	0	88.7176207227375
tdna033-Rep2-MiFish-E_S261_L001_R1_001.fastq.gz	7077	6655	6632	6532	6511	6508	6508	0.0460758716019001	0	91.959870001413
tdna033-Rep3-MiFish-E_S317_L001_R1_001.fastq.gz	56085	52818	52682	52083	51812	51812	51354	0	0.883965104608976	91.5645894624231
tdna034-Rep1-MiFish-E_S206_L001_R1_001.fastq.gz	252346	237022	236635	233765	229277	228464	223945	0.354592915992441	1.97799215631346	88.745214903347
tdna034-Rep2-MiFish-E_S262_L001_R1_001.fastq.gz	9193	8617	8581	8530	8460	8460	8460	0	0	92.0265419340803
tdna034-Rep3-MiFish-E_S318_L001_R1_001.fastq.gz	184329	171950	171742	169979	168094	167963	165775	0.0779325853391555	1.30266784946684	89.9343022530367
tdna035-Rep1-MiFish-E_S207_L001_R1_001.fastq.gz	190624	181729	181555	178588	175762	175503	171130	0.14735835959992	2.49169529865586	89.7735856974987
