reads.in	reads.out	percentage_retained
tdna047-Rep3-MiFish-E_S330_L001_R1_001.fastq.gz	272491	259632	95.2809450587359
tdna048-Rep1-MiFish-E_S219_L001_R1_001.fastq.gz	174455	165107	94.641598119859
tdna048-Rep2-MiFish-E_S275_L001_R1_001.fastq.gz	83620	79262	94.78832815116
tdna048-Rep3-MiFish-E_S331_L001_R1_001.fastq.gz	51978	49772	95.7558967255377
tdna049-Rep1-MiFish-E_S220_L001_R1_001.fastq.gz	168353	159677	94.8465426811521
tdna049-Rep2-MiFish-E_S276_L001_R1_001.fastq.gz	161600	152004	94.0618811881188
tdna049-Rep3-MiFish-E_S332_L001_R1_001.fastq.gz	108235	102643	94.8334642213702
tdna050-Rep1-MiFish-E_S221_L001_R1_001.fastq.gz	201981	190628	94.3791742787688
tdna050-Rep2-MiFish-E_S277_L001_R1_001.fastq.gz	72019	68484	95.0915730571099
tdna050-Rep3-MiFish-E_S333_L001_R1_001.fastq.gz	100595	94681	94.1209801680004
tdna051-Rep1-MiFish-E_S222_L001_R1_001.fastq.gz	104620	98464	94.1158478302428
tdna051-Rep2-MiFish-E_S278_L001_R1_001.fastq.gz	116682	109746	94.05563840181
tdna051-Rep3-MiFish-E_S334_L001_R1_001.fastq.gz	156141	145119	92.9409956385575
tdna052-Rep1-MiFish-E_S223_L001_R1_001.fastq.gz	181664	172999	95.2302052140215
tdna052-Rep2-MiFish-E_S279_L001_R1_001.fastq.gz	131439	124695	94.8691027777144
tdna052-Rep3-MiFish-E_S335_L001_R1_001.fastq.gz	113918	106149	93.1801822363454
tdna053-Rep1-MiFish-E_S224_L001_R1_001.fastq.gz	94637	88233	93.2330906516479
tdna053-Rep2-MiFish-E_S280_L001_R1_001.fastq.gz	37358	35327	94.5634134589646
tdna053-Rep3-MiFish-E_S336_L001_R1_001.fastq.gz	50527	47551	94.1100797593366
tdna054-Rep1-MiFish-E_S225_L001_R1_001.fastq.gz	346234	329584	95.1911135243795
tdna054-Rep2-MiFish-E_S281_L001_R1_001.fastq.gz	137301	131084	95.4719921923365
tdna054-Rep3-MiFish-E_S337_L001_R1_001.fastq.gz	98715	93286	94.5003292306134
tdna055-Rep1-MiFish-E_S226_L001_R1_001.fastq.gz	58398	53524	91.6538237610877
tdna055-Rep2-MiFish-E_S282_L001_R1_001.fastq.gz	112728	106825	94.7635015257966
tdna055-Rep3-MiFish-E_S338_L001_R1_001.fastq.gz	212564	201038	94.5776330893284
tdna056-Rep1-MiFish-E_S227_L001_R1_001.fastq.gz	179735	169799	94.4718613514341
tdna056-Rep2-MiFish-E_S283_L001_R1_001.fastq.gz	166381	159367	95.784374417752
tdna056-Rep3-MiFish-E_S339_L001_R1_001.fastq.gz	208830	198776	95.1855576306086
tdna057-Rep1-MiFish-E_S228_L001_R1_001.fastq.gz	155243	146374	94.287020992895
tdna057-Rep2-MiFish-E_S284_L001_R1_001.fastq.gz	162581	154629	95.1088995639097
tdna057-Rep3-MiFish-E_S340_L001_R1_001.fastq.gz	383322	360925	94.1571316021517
